rep_id,rep_name,territory_id,region,hcp_id
R004,Sam Ortiz,S01,South,H-S01-018
R004,Sam Ortiz,S01,South,H-S01-019
R004,Sam Ortiz,S01,South,H-S01-020
R004,Sam Ortiz,S01,South,H-S01-021
R004,Sam Ortiz,S01,South,H-S01-022
R004,Sam Ortiz,S01,South,H-S01-023
R004,Sam Ortiz,S01,South,H-S01-024
R004,Sam Ortiz,S01,South,H-S01-025
R004,Sam Ortiz,S01,South,H-S01-026
R004,Sam Ortiz,S01,South,H-S01-027
R004,Sam Ortiz,S01,South,H-S01-028
R004,Sam Ortiz,S01,South,H-S01-029
R004,Sam Ortiz,S01,South,H-S01-030
R004,Sam Ortiz,S01,South,H-S01-031
R004,Sam Ortiz,S01,South,H-S01-032
R004,Sam Ortiz,S01,South,H-S01-033
R004,Sam Ortiz,S01,South,H-S01-034
R004,Sam Ortiz,S01,South,H-S01-035
R005,Morgan Novak,S02,South,H-S02-001
R005,Morgan Novak,S02,South,H-S02-002
R005,Morgan Novak,S02,South,H-S02-003
R005,Morgan Novak,S02,South,H-S02-004
R005,Morgan Novak,S02,South,H-S02-005
R005,Morgan Novak,S02,South,H-S02-006
R005,Morgan Novak,S02,South,H-S02-007
R005,Morgan Novak,S02,South,H-S02-008
R005,Morgan Novak,S02,South,H-S02-009
R005,Morgan Novak,S02,South,H-S02-010
R005,Morgan Novak,S02,South,H-S02-011
R005,Morgan Novak,S02,South,H-S02-012
R005,Morgan Novak,S02,South,H-S02-013
R005,Morgan Novak,S02,South,H-S02-014
R005,Morgan Novak,S02,South,H-S02-015
R005,Morgan Novak,S02,South,H-S02-016
R005,Morgan Novak,S02,South,H-S02-017
R005,Morgan Novak,S02,South,H-S02-018
R005,Morgan Novak,S02,South,H-S02-019
R005,Morgan Novak,S02,South,H-S02-020
R005,Morgan Novak,S02,South,H-S02-021
R005,Morgan Novak,S02,South,H-S02-022
R005,Morgan Novak,S02,South,H-S02-023
R005,Morgan Novak,S02,South,H-S02-024
R005,Morgan Novak,S02,South,H-S02-025
R005,Morgan Novak,S02,South,H-S02-026
R005,Morgan Novak,S02,South,H-S02-027
R005,Morgan Novak,S02,South,H-S02-028
R005,Morgan Novak,S02,South,H-S02-029
R005,Morgan Novak,S02,South,H-S02-030
R005,Morgan Novak,S02,South,H-S02-031
R005,Morgan Novak,S02,South,H-S02-032
R005,Morgan Novak,S02,South,H-S02-033
R005,Morgan Novak,S02,South,H-S02-034
R005,Morgan Novak,S02,South,H-S02-035
R006,Taylor Singh,S03,South,H-S03-001
R006,Taylor Singh,S03,South,H-S03-002
R006,Taylor Singh,S03,South,H-S03-003
R006,Taylor Singh,S03,South,H-S03-004
R006,Taylor Singh,S03,South,H-S03-005
R006,Taylor Singh,S03,South,H-S03-006
R006,Taylor Singh,S03,South,H-S03-007
R006,Taylor Singh,S03,South,H-S03-008
R006,Taylor Singh,S03,South,H-S03-009
R006,Taylor Singh,S03,South,H-S03-010
R006,Taylor Singh,S03,South,H-S03-011
R006,Taylor Singh,S03,South,H-S03-012
R006,Taylor Singh,S03,South,H-S03-013
R006,Taylor Singh,S03,South,H-S03-014
R006,Taylor Singh,S03,South,H-S03-015
R006,Taylor Singh,S03,South,H-S03-016
R006,Taylor Singh,S03,South,H-S03-017
R006,Taylor Singh,S03,South,H-S03-018
R006,Taylor Singh,S03,South,H-S03-019
R006,Taylor Singh,S03,South,H-S03-020
R006,Taylor Singh,S03,South,H-S03-021
R006,Taylor Singh,S03,South,H-S03-022
R006,Taylor Singh,S03,South,H-S03-023
R006,Taylor Singh,S03,South,H-S03-024
R006,Taylor Singh,S03,South,H-S03-025
R006,Taylor Singh,S03,South,H-S03-026
R006,Taylor Singh,S03,South,H-S03-027
R006,Taylor Singh,S03,South,H-S03-028
R006,Taylor Singh,S03,South,H-S03-029
R006,Taylor Singh,S03,South,H-S03-030
R006,Taylor Singh,S03,South,H-S03-031
R006,Taylor Singh,S03,South,H-S03-032
R007,Chris Brooks,E01,East,H-E01-001
R007,Chris Brooks,E01,East,H-E01-002
R007,Chris Brooks,E01,East,H-E01-003
R007,Chris Brooks,E01,East,H-E01-004
R007,Chris Brooks,E01,East,H-E01-005
R007,Chris Brooks,E01,East,H-E01-006
R007,Chris Brooks,E01,East,H-E01-007
R007,Chris Brooks,E01,East,H-E01-008
R007,Chris Brooks,E01,East,H-E01-009
R007,Chris Brooks,E01,East,H-E01-010
R007,Chris Brooks,E01,East,H-E01-011
R007,Chris Brooks,E01,East,H-E01-012
R007,Chris Brooks,E01,East,H-E01-013
R007,Chris Brooks,E01,East,H-E01-014
R007,Chris Brooks,E01,East,H-E01-015
R007,Chris Brooks,E01,East,H-E01-016
R007,Chris Brooks,E01,East,H-E01-017
R007,Chris Brooks,E01,East,H-E01-018
R007,Chris Brooks,E01,East,H-E01-019
R007,Chris Brooks,E01,East,H-E01-020
R007,Chris Brooks,E01,East,H-E01-021
R007,Chris Brooks,E01,East,H-E01-022
R007,Chris Brooks,E01,East,H-E01-023
R007,Chris Brooks,E01,East,H-E01-024
R007,Chris Brooks,E01,East,H-E01-025
R007,Chris Brooks,E01,East,H-E01-026
R007,Chris Brooks,E01,East,H-E01-027
R007,Chris Brooks,E01,East,H-E01-028
R007,Chris Brooks,E01,East,H-E01-029
R007,Chris Brooks,E01,East,H-E01-030
R007,Chris Brooks,E01,East,H-E01-031
R008,Riley Fischer,E02,East,H-E02-001
R008,Riley Fischer,E02,East,H-E02-002
R008,Riley Fischer,E02,East,H-E02-003
R008,Riley Fischer,E02,East,H-E02-004
R008,Riley Fischer,E02,East,H-E02-005
R008,Riley Fischer,E02,East,H-E02-006
R008,Riley Fischer,E02,East,H-E02-007
R008,Riley Fischer,E02,East,H-E02-008
R008,Riley Fischer,E02,East,H-E02-009
R008,Riley Fischer,E02,East,H-E02-010
R008,Riley Fischer,E02,East,H-E02-011
R008,Riley Fischer,E02,East,H-E02-012
R008,Riley Fischer,E02,East,H-E02-013
R008,Riley Fischer,E02,East,H-E02-014
R008,Riley Fischer,E02,East,H-E02-015
R008,Riley Fischer,E02,East,H-E02-016
R008,Riley Fischer,E02,East,H-E02-017
R008,Riley Fischer,E02,East,H-E02-018
R008,Riley Fischer,E02,East,H-E02-019
R008,Riley Fischer,E02,East,H-E02-020
R008,Riley Fischer,E02,East,H-E02-021
R008,Riley Fischer,E02,East,H-E02-022
R008,Riley Fischer,E02,East,H-E02-023
R008,Riley Fischer,E02,East,H-E02-024
R008,Riley Fischer,E02,East,H-E02-025
R008,Riley Fischer,E02,East,H-E02-026
R008,Riley Fischer,E02,East,H-E02-027
R008,Riley Fischer,E02,East,H-E02-028
R008,Riley Fischer,E02,East,H-E02-029
R008,Riley Fischer,E02,East,H-E02-030
R008,Riley Fischer,E02,East,H-E02-031
R008,Riley Fischer,E02,East,H-E02-032
R008,Riley Fischer,E02,East,H-E02-033
R008,Riley Fischer,E02,East,H-E02-034
R008,Riley Fischer,E02,East,H-E02-035
R008,Riley Fischer,E02,East,H-E02-036
R008,Riley Fischer,E02,East,H-E02-037
R008,Riley Fischer,E02,East,H-E02-038
R008,Riley Fischer,E02,East,H-E02-039
R008,Riley Fischer,E02,East,H-E02-040
R008,Riley Fischer,E02,East,H-E02-041
R008,Riley Fischer,E02,East,H-E02-042
R008,Riley Fischer,E02,East,H-E02-043
R008,Riley Fischer,E02,East,H-E02-044
R008,Riley Fischer,E02,East,H-E02-045
R009,Nina Adeyemi,E03,East,H-E03-001
R009,Nina Adeyemi,E03,East,H-E03-002
R009,Nina Adeyemi,E03,East,H-E03-003
R009,Nina Adeyemi,E03,East,H-E03-004
R009,Nina Adeyemi,E03,East,H-E03-005
R009,Nina Adeyemi,E03,East,H-E03-006
R009,Nina Adeyemi,E03,East,H-E03-007
R009,Nina Adeyemi,E03,East,H-E03-008
R009,Nina Adeyemi,E03,East,H-E03-009
R009,Nina Adeyemi,E03,East,H-E03-010
R009,Nina Adeyemi,E03,East,H-E03-011
R009,Nina Adeyemi,E03,East,H-E03-012
R009,Nina Adeyemi,E03,East,H-E03-013
R009,Nina Adeyemi,E03,East,H-E03-014
R009,Nina Adeyemi,E03,East,H-E03-015
R009,Nina Adeyemi,E03,East,H-E03-016
R009,Nina Adeyemi,E03,East,H-E03-017
R009,Nina Adeyemi,E03,East,H-E03-018
R009,Nina Adeyemi,E03,East,H-E03-019
R009,Nina Adeyemi,E03,East,H-E03-020
R009,Nina Adeyemi,E03,East,H-E03-021
R009,Nina Adeyemi,E03,East,H-E03-022
R009,Nina Adeyemi,E03,East,H-E03-023
R009,Nina Adeyemi,E03,East,H-E03-024
R009,Nina Adeyemi,E03,East,H-E03-025
R009,Nina Adeyemi,E03,East,H-E03-026
R009,Nina Adeyemi,E03,East,H-E03-027
R009,Nina Adeyemi,E03,East,H-E03-028
R009,Nina Adeyemi,E03,East,H-E03-029
R009,Nina Adeyemi,E03,East,H-E03-030
R010,Omar Cole,W01,West,H-W01-001
R010,Omar Cole,W01,West,H-W01-002
R010,Omar Cole,W01,West,H-W01-003
R010,Omar Cole,W01,West,H-W01-004
R010,Omar Cole,W01,West,H-W01-005
R010,Omar Cole,W01,West,H-W01-006
R010,Omar Cole,W01,West,H-W01-007
R010,Omar Cole,W01,West,H-W01-008
R010,Omar Cole,W01,West,H-W01-009
R010,Omar Cole,W01,West,H-W01-010
R010,Omar Cole,W01,West,H-W01-011
R010,Omar Cole,W01,West,H-W01-012
R010,Omar Cole,W01,West,H-W01-013
R010,Omar Cole,W01,West,H-W01-014
R010,Omar Cole,W01,West,H-W01-015
R010,Omar Cole,W01,West,H-W01-016
R010,Omar Cole,W01,West,H-W01-017
R010,Omar Cole,W01,West,H-W01-018
R010,Omar Cole,W01,West,H-W01-019
R010,Omar Cole,W01,West,H-W01-020
R010,Omar Cole,W01,West,H-W01-021
R010,Omar Cole,W01,West,H-W01-022
R010,Omar Cole,W01,West,H-W01-023
R010,Omar Cole,W01,West,H-W01-024
R010,Omar Cole,W01,West,H-W01-025
R010,Omar Cole,W01,West,H-W01-026
R010,Omar Cole,W01,West,H-W01-027
R010,Omar Cole,W01,West,H-W01-028
R010,Omar Cole,W01,West,H-W01-029
R010,Omar Cole,W01,West,H-W01-030
R010,Omar Cole,W01,West,H-W01-031
R010,Omar Cole,W01,West,H-W01-032
R010,Omar Cole,W01,West,H-W01-033
R010,Omar Cole,W01,West,H-W01-034
R010,Omar Cole,W01,West,H-W01-035
R010,Omar Cole,W01,West,H-W01-036
R010,Omar Cole,W01,West,H-W01-037
R010,Omar Cole,W01,West,H-W01-038
R010,Omar Cole,W01,West,H-W01-039
R010,Omar Cole,W01,West,H-W01-040
R010,Omar Cole,W01,West,H-W01-041
R011,Lee Park,W02,West,H-W02-001
R011,Lee Park,W02,West,H-W02-002
R011,Lee Park,W02,West,H-W02-003
R011,Lee Park,W02,West,H-W02-004
R011,Lee Park,W02,West,H-W02-005
R011,Lee Park,W02,West,H-W02-006
R011,Lee Park,W02,West,H-W02-007
R011,Lee Park,W02,West,H-W02-008
R011,Lee Park,W02,West,H-W02-009
R011,Lee Park,W02,West,H-W02-010
R011,Lee Park,W02,West,H-W02-011
R011,Lee Park,W02,West,H-W02-012
R011,Lee Park,W02,West,H-W02-013
R011,Lee Park,W02,West,H-W02-014
R011,Lee Park,W02,West,H-W02-015
R011,Lee Park,W02,West,H-W02-016
R011,Lee Park,W02,West,H-W02-017
R011,Lee Park,W02,West,H-W02-018
R011,Lee Park,W02,West,H-W02-019
R011,Lee Park,W02,West,H-W02-020
R011,Lee Park,W02,West,H-W02-021
R011,Lee Park,W02,West,H-W02-022
R011,Lee Park,W02,West,H-W02-023
R011,Lee Park,W02,West,H-W02-024
R011,Lee Park,W02,West,H-W02-025
R011,Lee Park,W02,West,H-W02-026
R011,Lee Park,W02,West,H-W02-027
R011,Lee Park,W02,West,H-W02-028
R011,Lee Park,W02,West,H-W02-029
R012,Dana Hughes,W03,West,H-W03-001
R012,Dana Hughes,W03,West,H-W03-002
R012,Dana Hughes,W03,West,H-W03-003
R012,Dana Hughes,W03,West,H-W03-004
R012,Dana Hughes,W03,West,H-W03-005
R012,Dana Hughes,W03,West,H-W03-006
