rep_id,rep_name,territory_id,region,hcp_id,product,call_date,call_outcome,prescription_volume,target_volume
R011,Lee Park,W02,West,H-W02-015,Glucanorm,2026-03-11,Rescheduled,2.4,50.5
R001,Alex Reed,N01,North,H-N01-003,Respiraline,2026-03-12,Rescheduled,1.4,81.1
R001,Alex Reed,N01,North,H-N01-026,Glucanorm,2026-03-12,No Show,1.3,81.1
R002,Jordan Kapoor,N02,North,H-N02-008,Glucanorm,2026-03-12,Rescheduled,3.2,75.3
R002,Jordan Kapoor,N02,North,H-N02-022,Glucanorm,2026-03-12,Rescheduled,1.8,75.3
R002,Jordan Kapoor,N02,North,H-N02-002,Respiraline,2026-03-12,Rescheduled,2.0,75.3
R006,Taylor Singh,S03,South,H-S03-001,Glucanorm,2026-03-12,Rescheduled,3.0,171.4
R008,Riley Fischer,E02,East,H-E02-006,Cardiavex,2026-03-12,Sample Drop,8.5,184.4
R009,Nina Adeyemi,E03,East,H-E03-026,Glucanorm,2026-03-12,Rescheduled,2.3,253.3
R010,Omar Cole,W01,West,H-W01-001,Cardiavex,2026-03-12,Discussion Completed,4.7,502.4
R010,Omar Cole,W01,West,H-W01-029,Glucanorm,2026-03-12,Discussion Completed,6.0,502.4
R010,Omar Cole,W01,West,H-W01-004,Cardiavex,2026-03-12,Discussion Completed,14.8,502.4
R003,Priya Chen,N03,North,H-N03-019,Cardiavex,2026-03-13,Rescheduled,3.3,137.2
R006,Taylor Singh,S03,South,H-S03-016,Glucanorm,2026-03-13,No Show,2.4,171.4
R006,Taylor Singh,S03,South,H-S03-028,Respiraline,2026-03-13,Completed,15.4,171.4
R007,Chris Brooks,E01,East,H-E01-017,Respiraline,2026-03-13,Rescheduled,4.0,141.4
R008,Riley Fischer,E02,East,H-E02-024,Cardiavex,2026-03-13,No Show,4.0,184.4
R008,Riley Fischer,E02,East,H-E02-030,Respiraline,2026-03-13,Rescheduled,4.1,184.4
R010,Omar Cole,W01,West,H-W01-037,Glucanorm,2026-03-13,No Show,3.0,502.4
R010,Omar Cole,W01,West,H-W01-040,Respiraline,2026-03-13,Completed,8.3,502.4
R011,Lee Park,W02,West,H-W02-015,Cardiavex,2026-03-13,Sample Drop,6.4,50.5
R011,Lee Park,W02,West,H-W02-018,Glucanorm,2026-03-13,Completed,8.1,50.5
R002,Jordan Kapoor,N02,North,H-N02-008,Cardiavex,2026-03-14,No Show,2.3,75.3
R003,Priya Chen,N03,North,H-N03-012,Respiraline,2026-03-14,Discussion Completed,12.2,137.2
R004,Sam Ortiz,S01,South,H-S01-024,Cardiavex,2026-03-14,Rescheduled,3.3,73.8
R005,Morgan Novak,S02,South,H-S02-031,Glucanorm,2026-03-14,No Show,1.7,104.6
R005,Morgan Novak,S02,South,H-S02-033,Glucanorm,2026-03-14,Rescheduled,1.1,104.6
R007,Chris Brooks,E01,East,H-E01-019,Respiraline,2026-03-14,Rescheduled,2.3,141.4
R008,Riley Fischer,E02,East,H-E02-019,Glucanorm,2026-03-14,Completed,13.8,184.4
R008,Riley Fischer,E02,East,H-E02-045,Glucanorm,2026-03-14,No Show,2.3,184.4
R009,Nina Adeyemi,E03,East,H-E03-004,Glucanorm,2026-03-14,No Show,5.3,253.3
R010,Omar Cole,W01,West,H-W01-011,Respiraline,2026-03-14,No Show,4.9,502.4
R010,Omar Cole,W01,West,H-W01-015,Glucanorm,2026-03-14,No Show,5.2,502.4
R010,Omar Cole,W01,West,H-W01-018,Respiraline,2026-03-14,Discussion Completed,10.3,502.4
R010,Omar Cole,W01,West,H-W01-006,Glucanorm,2026-03-14,Sample Drop,21.3,502.4
R011,Lee Park,W02,West,H-W02-001,Cardiavex,2026-03-14,Rescheduled,1.0,50.5
R011,Lee Park,W02,West,H-W02-001,Cardiavex,2026-03-14,Rescheduled,1.7,50.5
R001,Alex Reed,N01,North,H-N01-010,Respiraline,2026-03-15,Rescheduled,2.6,81.1
R001,Alex Reed,N01,North,H-N01-007,Respiraline,2026-03-15,Rescheduled,3.0,81.1
R002,Jordan Kapoor,N02,North,H-N02-011,Glucanorm,2026-03-15,Completed,13.4,75.3
R003,Priya Chen,N03,North,H-N03-020,Glucanorm,2026-03-15,Sample Drop,14.0,137.2
R003,Priya Chen,N03,North,H-N03-017,Respiraline,2026-03-15,Rescheduled,3.9,137.2
R004,Sam Ortiz,S01,South,H-S01-008,Cardiavex,2026-03-15,No Show,2.1,73.8
R005,Morgan Novak,S02,South,H-S02-018,Cardiavex,2026-03-15,Sample Drop,13.7,104.6
R005,Morgan Novak,S02,South,H-S02-006,Glucanorm,2026-03-15,Discussion Completed,11.8,104.6
R006,Taylor Singh,S03,South,H-S03-018,Respiraline,2026-03-15,Sample Drop,11.8,171.4
R006,Taylor Singh,S03,South,H-S03-001,Cardiavex,2026-03-15,Discussion Completed,15.0,171.4
R007,Chris Brooks,E01,East,H-E01-007,Cardiavex,2026-03-15,Rescheduled,2.1,141.4
R009,Nina Adeyemi,E03,East,H-E03-030,Respiraline,2026-03-15,Completed,14.5,253.3
R009,Nina Adeyemi,E03,East,H-E03-029,Cardiavex,2026-03-15,Sample Drop,17.5,253.3
R002,Jordan Kapoor,N02,North,H-N02-022,Cardiavex,2026-03-16,No Show,2.5,75.3
R002,Jordan Kapoor,N02,North,H-N02-018,Respiraline,2026-03-16,Discussion Completed,9.5,75.3
R005,Morgan Novak,S02,South,H-S02-009,Glucanorm,2026-03-16,Discussion Completed,9.7,104.6
R005,Morgan Novak,S02,South,H-S02-006,Cardiavex,2026-03-16,Discussion Completed,8.5,104.6
R006,Taylor Singh,S03,South,H-S03-011,Cardiavex,2026-03-16,Rescheduled,5.8,171.4
R006,Taylor Singh,S03,South,H-S03-011,Glucanorm,2026-03-16,Rescheduled,2.9,171.4
R006,Taylor Singh,S03,South,H-S03-028,Glucanorm,2026-03-16,No Show,5.6,171.4
R006,Taylor Singh,S03,South,H-S03-030,Respiraline,2026-03-16,No Show,2.9,171.4
R007,Chris Brooks,E01,East,H-E01-014,Cardiavex,2026-03-16,Rescheduled,2.4,141.4
R009,Nina Adeyemi,E03,East,H-E03-008,Cardiavex,2026-03-16,Completed,18.1,253.3
R009,Nina Adeyemi,E03,East,H-E03-022,Respiraline,2026-03-16,Completed,18.1,253.3
R001,Alex Reed,N01,North,H-N01-028,Respiraline,2026-03-17,No Show,1.6,81.1
R003,Priya Chen,N03,North,H-N03-012,Cardiavex,2026-03-17,Rescheduled,2.0,137.2
R006,Taylor Singh,S03,South,H-S03-018,Cardiavex,2026-03-17,No Show,3.7,171.4
R006,Taylor Singh,S03,South,H-S03-029,Cardiavex,2026-03-17,No Show,2.0,171.4
R008,Riley Fischer,E02,East,H-E02-024,Respiraline,2026-03-17,Completed,5.7,184.4
R008,Riley Fischer,E02,East,H-E02-002,Respiraline,2026-03-17,No Show,3.8,184.4
R009,Nina Adeyemi,E03,East,H-E03-014,Respiraline,2026-03-17,No Show,2.8,253.3
R009,Nina Adeyemi,E03,East,H-E03-023,Respiraline,2026-03-17,Completed,10.7,253.3
R010,Omar Cole,W01,West,H-W01-001,Respiraline,2026-03-17,Sample Drop,13.3,502.4
R010,Omar Cole,W01,West,H-W01-031,Glucanorm,2026-03-17,Sample Drop,6.8,502.4
R001,Alex Reed,N01,North,H-N01-020,Glucanorm,2026-03-18,Discussion Completed,10.5,81.1
R002,Jordan Kapoor,N02,North,H-N02-023,Glucanorm,2026-03-18,Rescheduled,2.3,75.3
R002,Jordan Kapoor,N02,North,H-N02-012,Glucanorm,2026-03-18,Discussion Completed,5.9,75.3
R002,Jordan Kapoor,N02,North,H-N02-014,Respiraline,2026-03-18,No Show,1.5,75.3
R004,Sam Ortiz,S01,South,H-S01-013,Glucanorm,2026-03-18,Rescheduled,2.2,73.8
R007,Chris Brooks,E01,East,H-E01-024,Cardiavex,2026-03-18,Completed,10.9,141.4
R007,Chris Brooks,E01,East,H-E01-014,Cardiavex,2026-03-18,Completed,14.3,141.4
R007,Chris Brooks,E01,East,H-E01-015,Respiraline,2026-03-18,Sample Drop,8.9,141.4
R008,Riley Fischer,E02,East,H-E02-015,Cardiavex,2026-03-18,Rescheduled,3.8,184.4
R009,Nina Adeyemi,E03,East,H-E03-021,Cardiavex,2026-03-18,No Show,3.1,253.3
R001,Alex Reed,N01,North,H-N01-027,Glucanorm,2026-03-19,No Show,1.3,81.1
R003,Priya Chen,N03,North,H-N03-022,Cardiavex,2026-03-19,Rescheduled,1.8,137.2
R003,Priya Chen,N03,North,H-N03-013,Glucanorm,2026-03-19,Discussion Completed,7.8,137.2
R004,Sam Ortiz,S01,South,H-S01-024,Cardiavex,2026-03-19,No Show,2.4,73.8
R005,Morgan Novak,S02,South,H-S02-027,Cardiavex,2026-03-19,Discussion Completed,10.8,104.6
R005,Morgan Novak,S02,South,H-S02-027,Cardiavex,2026-03-19,Discussion Completed,10.8,104.6
R007,Chris Brooks,E01,East,H-E01-008,Cardiavex,2026-03-19,Sample Drop,7.4,141.4
R007,Chris Brooks,E01,East,H-E01-003,Respiraline,2026-03-19,Discussion Completed,4.3,141.4
R007,Chris Brooks,E01,East,H-E01-003,Glucanorm,2026-03-19,Completed,17.5,141.4
R007,Chris Brooks,E01,East,H-E01-011,Respiraline,2026-03-19,Rescheduled,1.1,141.4
R008,Riley Fischer,E02,East,H-E02-032,Respiraline,2026-03-19,Rescheduled,1.6,184.4
R009,Nina Adeyemi,E03,East,H-E03-023,Respiraline,2026-03-19,Completed,14.3,253.3
R009,Nina Adeyemi,E03,East,H-E03-018,Cardiavex,2026-03-19,Sample Drop,7.2,253.3
R009,Nina Adeyemi,E03,East,H-E03-029,Cardiavex,2026-03-19,Completed,17.0,253.3
R009,Nina Adeyemi,E03,East,H-E03-010,Respiraline,2026-03-19,No Show,5.3,253.3
R010,Omar Cole,W01,West,H-W01-017,Cardiavex,2026-03-19,Rescheduled,4.1,502.4
R010,Omar Cole,W01,West,H-W01-038,Glucanorm,2026-03-19,Discussion Completed,17.0,502.4
R010,Omar Cole,W01,West,H-W01-006,Respiraline,2026-03-19,Completed,16.0,502.4
R003,Priya Chen,N03,North,H-N03-001,Cardiavex,2026-03-20,Sample Drop,14.5,137.2
R004,Sam Ortiz,S01,South,H-S01-001,Respiraline,2026-03-20,Discussion Completed,8.7,73.8
R006,Taylor Singh,S03,South,H-S03-008,Glucanorm,2026-03-20,Rescheduled,4.5,171.4
R006,Taylor Singh,S03,South,H-S03-015,Respiraline,2026-03-20,Sample Drop,6.3,171.4
R007,Chris Brooks,E01,East,H-E01-009,Glucanorm,2026-03-20,No Show,1.9,141.4
R007,Chris Brooks,E01,East,H-E01-006,Respiraline,2026-03-20,Sample Drop,12.7,141.4
R007,Chris Brooks,E01,East,H-E01-012,Cardiavex,2026-03-20,Rescheduled,5.1,141.4
R008,Riley Fischer,E02,East,H-E02-023,Glucanorm,2026-03-20,Rescheduled,3.3,184.4
R009,Nina Adeyemi,E03,East,H-E03-030,Respiraline,2026-03-20,Sample Drop,18.5,253.3
R009,Nina Adeyemi,E03,East,H-E03-013,Glucanorm,2026-03-20,No Show,1.4,253.3
R009,Nina Adeyemi,E03,East,H-E03-018,Glucanorm,2026-03-20,Sample Drop,6.0,253.3
R010,Omar Cole,W01,West,H-W01-016,Glucanorm,2026-03-20,Sample Drop,19.3,502.4
R011,Lee Park,W02,West,H-W02-007,Glucanorm,2026-03-20,Rescheduled,3.3,50.5
R001,Alex Reed,UNK,North,H-N01-018,Cardiavex,2026-03-21,Discussion Completed,7.2,81.1
R001,Alex Reed,N01,North,H-N01-021,Glucanorm,2026-03-21,Rescheduled,1.1,81.1
R001,Alex Reed,N01,North,H-N01-008,Respiraline,2026-03-21,Discussion Completed,7.8,81.1
R003,Priya Chen,N03,North,H-N03-033,Cardiavex,2026-03-21,No Show,1.5,137.2
R005,Morgan Novak,S02,South,H-S02-020,Respiraline,2026-03-21,Sample Drop,6.1,104.6
R006,Taylor Singh,S03,South,H-S03-026,Glucanorm,2026-03-21,Completed,14.5,171.4
R006,Taylor Singh,UNK,South,H-S03-025,Cardiavex,2026-03-21,Completed,8.1,171.4
R006,Taylor Singh,S03,South,H-S03-024,Respiraline,2026-03-21,Rescheduled,2.6,171.4
R007,Chris Brooks,E01,East,H-E01-019,Glucanorm,2026-03-21,Rescheduled,4.9,141.4
R008,Riley Fischer,E02,East,H-E02-021,Glucanorm,2026-03-21,No Show,1.4,184.4
R009,Nina Adeyemi,E03,East,H-E03-005,Cardiavex,2026-03-21,Sample Drop,9.0,253.3
R004,Sam Ortiz,S01,South,H-S01-015,Cardiavex,2026-03-22,Rescheduled,1.3,73.8
R004,Sam Ortiz,S01,South,H-S01-022,Glucanorm,2026-03-22,Rescheduled,1.5,73.8
R004,Sam Ortiz,S01,South,H-S01-018,Respiraline,2026-03-22,Rescheduled,1.6,73.8
R005,Morgan Novak,S02,South,H-S02-023,Cardiavex,2026-03-22,No Show,4.0,104.6
R005,Morgan Novak,S02,South,H-S02-030,Cardiavex,2026-03-22,Rescheduled,3.5,104.6
R006,Taylor Singh,S03,South,H-S03-004,Glucanorm,2026-03-22,Discussion Completed,13.4,171.4
R006,Taylor Singh,S03,South,H-S03-008,Glucanorm,2026-03-22,No Show,3.9,171.4
R007,Chris Brooks,E01,East,H-E01-007,Respiraline,2026-03-22,Completed,13.9,141.4
R009,Nina Adeyemi,E03,East,H-E03-011,Cardiavex,2026-03-22,Completed,5.6,253.3
R010,Omar Cole,W01,West,H-W01-030,Respiraline,2026-03-22,No Show,5.1,502.4
R011,Lee Park,W02,West,H-W02-023,Respiraline,2026-03-22,Rescheduled,2.1,50.5
R002,Jordan Kapoor,N02,North,H-N02-027,Respiraline,2026-03-23,Rescheduled,2.5,75.3
R005,Morgan Novak,S02,South,H-S02-007,Glucanorm,2026-03-23,No Show,2.3,104.6
R007,Chris Brooks,E01,East,H-E01-028,Glucanorm,2026-03-23,No Show,2.7,141.4
R008,Riley Fischer,E02,East,H-E02-012,Cardiavex,2026-03-23,Rescheduled,3.7,184.4
R008,Riley Fischer,E02,East,H-E02-010,Cardiavex,2026-03-23,Rescheduled,2.4,184.4
R008,Riley Fischer,E02,East,H-E02-016,Glucanorm,2026-03-23,Rescheduled,2.2,184.4
R009,Nina Adeyemi,E03,East,H-E03-008,Glucanorm,2026-03-23,Rescheduled,3.1,253.3
R010,Omar Cole,W01,West,H-W01-018,Respiraline,2026-03-23,Completed,15.9,502.4
R010,Omar Cole,W01,West,H-W01-025,Glucanorm,2026-03-23,Discussion Completed,5.8,502.4
R011,Lee Park,W02,West,H-W02-029,Cardiavex,2026-03-23,Rescheduled,1.2,50.5
R001,Alex Reed,N01,North,H-N01-030,Glucanorm,2026-03-24,Discussion Completed,9.3,81.1
R001,Alex Reed,N01,North,H-N01-002,Cardiavex,2026-03-24,Discussion Completed,6.9,81.1
R002,Jordan Kapoor,N02,North,H-N02-004,Respiraline,2026-03-24,Rescheduled,1.8,75.3
R002,Jordan Kapoor,N02,North,H-N02-027,Respiraline,2026-03-24,Rescheduled,3.4,75.3
R005,Morgan Novak,S02,South,H-S02-010,Cardiavex,2026-03-24,No Show,1.9,104.6
R007,Chris Brooks,E01,East,H-E01-021,Glucanorm,2026-03-24,Rescheduled,5.4,141.4
R008,Riley Fischer,E02,East,H-E02-033,Cardiavex,2026-03-24,Sample Drop,11.0,184.4
R008,Riley Fischer,E02,East,H-E02-001,Respiraline,2026-03-24,Rescheduled,2.6,184.4
R009,Nina Adeyemi,E03,East,H-E03-013,Cardiavex,2026-03-24,Discussion Completed,6.3,253.3
R009,Nina Adeyemi,E03,East,H-E03-001,Cardiavex,2026-03-24,No Show,2.7,253.3
R010,Omar Cole,W01,West,H-W01-016,Respiraline,2026-03-24,Discussion Completed,8.7,502.4
R010,Omar Cole,W01,West,H-W01-033,Glucanorm,2026-03-24,Rescheduled,2.3,502.4
R002,Jordan Kapoor,N02,North,H-N02-010,Respiraline,2026-03-25,Rescheduled,3.1,75.3
R002,Jordan Kapoor,N02,North,H-N02-009,Cardiavex,2026-03-25,Rescheduled,2.8,75.3
R003,Priya Chen,N03,North,H-N03-026,Glucanorm,2026-03-25,Rescheduled,4.4,137.2
R004,Sam Ortiz,S01,South,H-S01-002,Cardiavex,2026-03-25,No Show,1.1,73.8
R004,Sam Ortiz,S01,South,H-S01-035,Glucanorm,2026-03-25,Rescheduled,1.3,73.8
R006,Taylor Singh,S03,South,H-S03-010,Respiraline,2026-03-25,No Show,1.2,171.4
R007,Chris Brooks,E01,East,H-E01-012,Glucanorm,2026-03-25,Rescheduled,3.5,141.4
R007,Chris Brooks,E01,East,H-E01-031,Respiraline,2026-03-25,No Show,1.6,141.4
R007,Chris Brooks,E01,East,H-E01-029,Respiraline,2026-03-25,Discussion Completed,10.9,141.4
R008,Riley Fischer,E02,East,H-E02-040,Cardiavex,2026-03-25,Discussion Completed,6.4,184.4
R008,Riley Fischer,E02,East,H-E02-039,Glucanorm,2026-03-25,Completed,12.6,184.4
R009,Nina Adeyemi,E03,East,H-E03-003,Cardiavex,2026-03-25,Completed,6.1,253.3
R009,Nina Adeyemi,E03,East,H-E03-014,Respiraline,2026-03-25,No Show,2.2,253.3
R009,Nina Adeyemi,E03,East,H-E03-004,Cardiavex,2026-03-25,Completed,7.5,253.3
R010,Omar Cole,W01,West,H-W01-039,Glucanorm,2026-03-25,No Show,4.0,502.4
R010,Omar Cole,W01,West,H-W01-027,Cardiavex,2026-03-25,Completed,20.8,502.4
R010,Omar Cole,W01,West,H-W01-021,Cardiavex,2026-03-25,No Show,5.9,502.4
R001,Alex Reed,N01,North,H-N01-019,Respiraline,2026-03-26,Rescheduled,0.9,81.1
R007,Chris Brooks,E01,East,H-E01-004,Glucanorm,2026-03-26,Rescheduled,3.8,141.4
